架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T01,U06,B,BB03,1813.9,S010,3364.9,1.82113
T02,U06,B,BB04,0.0,S002,1813.9,2.71227
T03,U08,C,BC04,1490.7,S002,3529.1,5.71976
T04,U08,C,BC03,0.0,S001,1490.7,2.99408
T05,U07,C,BC02,0.0,S001,1688.7,2.91591
T06,U04,A,BA06,0.0,S013,1602.7,1.95413
T07,U05,B,BB01,0.0,S014,1861.1,2.13643
T08,U03,A,BA05,0.0,S006,1316.9,1.31294
T09,U05,B,BB02,1861.1,S012,3783.9,2.75233
T10,U06,B,BB01,3453.6,S013,4834.6,1.51227
T11,U02,A,BA04,0.0,S008,2163.3,3.19673
T12,U07,C,BC01,1688.7,S006,3122.4,2.32941
T13,U05,B,BB04,3783.9,S003,5852.3,2.77481
T14,U07,C,BC01,5193.0,S003,7548.3,5.75831
T15,U08,C,BC02,3529.1,S004,5830.6,6.15306
T16,U06,B,BB01,6658.1,S011,7843.2,1.07259
T17,U07,C,BC03,3134.9,S008,5193.0,5.3981
T18,U08,C,BC04,5911.5,S005,7786.8,4.22136
T19,U06,B,BB03,4834.6,S015,6658.1,2.30541
T20,U05,B,BB02,5852.3,S009,7409.7,2.09576
T21,U01,A,BA03,1712.5,S007,3365.0,1.86664
T22,U01,A,BA02,0.0,S007,1712.5,1.9647
T23,U04,A,BA01,1602.7,S007,3315.2,1.82174
